GDSC1000 cosmic id	GDSC1000 name	CCLE name	CTRP name	CTRP idx	CTRP raw name	CTRP master ccl id	CTRP exp id1			Comments
911905	EFO-21	EFO21_OVARY	EFO21	415	EFO21	237	467			
906852	EFO-27	EFO27_OVARY	EFO27	416	EFO27	238	452			
905970	EKVX	N/A	EKVX	270	EKVX	241	801			
906855	EM-2	EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
1240127	EN	EN_ENDOMETRIUM	EN	126	EN	243	575			
753556	EPLC-272H	N/A	EPLC272H	271	EPLC272H	246	315			
1240128	ES-2	ES2_OVARY	ES2	417	ES2	247	143			
907000	ESS-1	ESS1_ENDOMETRIUM	ESS1	127	ESS1	248	602			
906863	FADU	FADU_UPPER_AERODIGESTIVE_TRACT	FADU	621	FADU	255	648			
906864	FTC-133	N/A	FTC133	605	FTC133	257	468			
1290806	FU97	FU97_STOMACH	FU97	579	FU97	259	336			
1240129	FU-OV-1	FUOV1_OVARY	FUOV1	418	FUOV1	261	287			
1290807	G-292 Clone A141B1	N/A	G292CLONEA141B1	25	G292CLONEA141B1	262	839			
906865	G-361	G361_SKIN	G361	516	G361	263	430			
907299	G-401	G401_SOFT_TISSUE	G401	557	G401	264	768			
907298	G-402	G402_SOFT_TISSUE	G402	558	G402	265	603			
906868	GAMG	GAMG_CENTRAL_NERVOUS_SYSTEM	GAMG	87	GAMG	268	377			
687568	GB-1	GB1_CENTRAL_NERVOUS_SYSTEM	GB1	88	GB1	269	120			
906869	GCIY	GCIY_STOMACH	N/A	N/A	N/A	N/A				
906999	GCT	GCT_SOFT_TISSUE	GCT	559	GCT	271	779			
906871	GI-1	GI1_CENTRAL_NERVOUS_SYSTEM	GI1	89	GI1	274	539			
906873	GMS-10	GMS10_CENTRAL_NERVOUS_SYSTEM	GMS10	90	GMS10	280	634			
1303897	GRANTA-519	GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
907042	H4	H4_CENTRAL_NERVOUS_SYSTEM	N/A	N/A	N/A	N/A				
1240142	HARA	HARA_LUNG	HARA	272	HARA	293	52			
749710	HCC1143	N/A	HCC1143	48	HCC1143	295	414			
749711	HCC1187	HCC1187_BREAST	N/A	N/A	N/A	N/A				
749712	HCC1395	HCC1395_BREAST	HCC1395	49	HCC1395	300	220			
907045	HCC1419	N/A	HCC1419	50	HCC1419	301	728			
1290905	HCC1428	N/A	HCC1428	51	HCC1428	302	474			
1240143	HCC-15	HCC15_LUNG	HCC15	276	HCC15	304	53			
1303900	HCC1500	N/A	HCC1500	52	HCC1500	305	541			
907046	HCC1569	HCC1569_BREAST	HCC1569	53	HCC1569	306	196			
907047	HCC1806	HCC1806_BREAST	HCC1806	54	HCC1806	309	144			
749714	HCC1937	N/A	HCC1937	55	HCC1937	313	204			
749709	HCC1954	HCC1954_BREAST	HCC1954	56	HCC1954	314	145			
1290906	HCC202	N/A	HCC202	57	HCC202	315	502			
1303901	HCC-33	N/A	HCC33	282	HCC33	326	288			
1240144	HCC-366	N/A	HCC366	283	HCC366	328	75			
749717	HCC38	N/A	HCC38	58	HCC38	330	488			
1240145	HCC-44	HCC44_LUNG	HCC44	285	HCC44	332	122			
1290907	HCC-56	HCC56_LARGE_INTESTINE	HCC56	191	HCC56	337	729			
907048	HCC70	HCC70_BREAST	N/A	N/A	N/A	N/A				
1290908	HCC-78	HCC78_LUNG	HCC78	286	HCC78	339	86			
1240146	HCC-827	HCC827_LUNG	HCC827	287	HCC827	340	181			
905936	HCT-116	HCT116_LARGE_INTESTINE	HCT116	192	HCT116	343	166			
905937	HCT-15	HCT15_LARGE_INTESTINE	HCT15	193	HCT15	345	699			
907050	HD-MY-Z	HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HDMYZ	151	HDMYZ	348	453			
1290922	HDQ-P1	HDQP1_BREAST	HDQP1	59	HDQP1	349	16			
907053	HEL	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL	152	HEL	362	185			
1298134	HeLa	N/A	HELA	123	HELA	364	431			
1240147	Hep 3B2_1-7	N/A	HEP3B217	231	HEP3B217	365	134			
1479988	Hey	HEYA8_OVARY	N/A	N/A	N/A	N/A				
907055	HGC-27	HGC27_STOMACH	HGC27	582	HGC27	368	850			
907056	HH	HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
907057	HLE	HLE_LIVER	N/A	N/A	N/A	N/A				
905972	HOP-62	N/A	HOP62	289	HOP62	381	781			
905973	HOP-92	N/A	HOP92	290	HOP92	382	804			
907060	HOS	HOS_BONE	HOS	26	HOS	383	604			
1298136	HPAC	HPAC_PANCREAS	HPAC	457	HPAC	384	433			
724869	HPAF-II	HPAFII_PANCREAS	HPAFII	458	HPAFII	385	146			
905957	Hs-578-T	HS578T_BREAST	HS578T	61	HS578T	400	562			
1240150	Hs683	HS683_CENTRAL_NERVOUS_SYSTEM	HS683	92	HS683	409	650			
1240151	Hs746T	HS746T_STOMACH	HS746T	583	HS746T	418	587			
1298141	Hs766T	HS766T_PANCREAS	HS766T	459	HS766T	421	841			
1298144	Hs939-T	HS939T_SKIN	N/A	N/A	N/A	N/A				
1298145	Hs940-T	N/A	HS940T	525	HS940T	439	869			
753562	HSC-2	HSC2_UPPER_AERODIGESTIVE_TRACT	HSC2	622	HSC2	441	588			
907061	HSC-3	N/A	HSC3	623	HSC3	442	135			
907062	HSC-4	N/A	HSC4	624	HSC4	443	379			
907063	HT	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
907064	HT-1080	HT1080_SOFT_TISSUE	HT1080	561	HT1080	446	652			
907289	HT-115	N/A	HT115	195	HT115	447	221			
907065	HT-1197	HT1197_URINARY_TRACT	HT1197	649	HT1197	448	713			
907066	HT-1376	HT1376_URINARY_TRACT	HT1376	650	HT1376	449	402			
907067	HT-144	HT144_SKIN	HT144	527	HT144	450	589			
905939	HT-29	HT29_LARGE_INTESTINE	HT29	196	HT29	451	171			
907287	HT55	N/A	HT55	197	HT55	452	403			
907069	HuCCT1	HUCCT1_BILIARY_TRACT	HUCCT1	15	HUCCT1	455	11			
1298146	huH-1	HUH1_LIVER	HUH1	234	HUH1	457	637			
907285	HuP-T3	HUPT3_PANCREAS	HUPT3	460	HUPT3	462	685			
907286	HuP-T4	HUPT4_PANCREAS	HUPT4	461	HUPT4	463	404			
910779	IA-LM	IALM_LUNG	IALM	291	IALM	469	489			
907169	IGR-1	N/A	IGR1	528	IGR1	470	542			
1240153	IGR-37	IGR37_SKIN	IGR37	529	IGR37	471	790			
905968	IGROV-1	IGROV1_OVARY	IGROV1	420	IGROV1	473	316	355		
1240155	IM-95	IM95_STOMACH	IM95	584	IM95	474	555			
907171	IPC-298	IPC298_SKIN	IPC298	531	IPC298	478	405			
907173	IST-MES1	ISTMES1_PLEURA	ISTMES1	491	ISTMES1	480	639			
753566	J82	J82_URINARY_TRACT	J82	651	J82	482				Experiment identifier not available in v20.meta.per_experiment.txt for this cell line
1298151	JHH-1	N/A	JHH1	236	JHH1	486	619			
1240157	JHH-2	JHH2_LIVER	JHH2	237	JHH2	487	616			
1240158	JHH-4	JHH4_LIVER	JHH4	238	JHH4	488	564			
1240159	JHH-6	JHH6_LIVER	JHH6	240	JHH6	490	392			
1240160	JHH-7	JHH7_LIVER	N/A	N/A	N/A	N/A				
1479995	JHOS-2	JHOS2_OVARY	JHOS2	423	JHOS2	495	702			
1480359	JHOS-4	JHOS4_OVARY	N/A	N/A	N/A	N/A				
1298157	JIMT-1	N/A	JIMT1	62	JIMT1	501	38			
1327768	JM1	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
998184	Jurkat	JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JURKAT	154	JURKAT	508	187			
907269	JVM-2	N/A	JVM2	155	JVM2	510	188			
907270	JVM-3	JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
907271	KALS-1	KALS1_CENTRAL_NERVOUS_SYSTEM	KALS1	93	KALS1	514	311			
907273	KARPAS-299	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
907274	KARPAS-422	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
1327775	KARPAS-620	KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
1330931	KCL-22	KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KCL22	157	KCL22	524	189			
753618	KELLY	KELLY_AUTONOMIC_GANGLIA	KELLY	3	KELLY	528	342			
907278	KG-1	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
924187	KLE	KLE_ENDOMETRIUM	KLE	142	KLE	534	197			
905989	KM12	N/A	KM12	198	KM12	536	318			
1298168	KMRC-1	KMRC1_KIDNEY	KMRC1	170	KMRC1	540	566			
1298169	KMRC-20	KMRC2_KIDNEY	KMRC20	172	KMRC20	542	39			
1659817	KMS-11	KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS11	158	KMS11	545	319			
907281	KMS-12-BM	KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
907282	KNS-42	KNS42_CENTRAL_NERVOUS_SYSTEM	KNS42	95	KNS42	556	671			
753569	KNS-62	KNS62_LUNG	KNS62	292	KNS62	558	791			
924188	KNS-81-FD	KNS81_CENTRAL_NERVOUS_SYSTEM	N/A	N/A	N/A	N/A				
1298216	KP-1N	KP1N_PANCREAS	N/A	N/A	N/A	N/A				
1298218	KP-2	KP2_PANCREAS	KP2	462	KP2	566	750			
1298219	KP-3	KP3_PANCREAS	KP3	463	KP3	567	159			
753572	KP-4	KP4_PANCREAS	KP4	464	KP4	568	54			
907314	KP-N-YN	N/A	KPNYN	5	KPNYN	572	770			
907312	KU-19-19	N/A	KU1919	654	KU1919	575	88			
907311	KU812	KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
909975	KURAMOCHI	KURAMOCHI_OVARY	KURAMOCHI	424	KURAMOCHI	577	76			
1240166	KYM-1	KYM1_SOFT_TISSUE	KYM1	562	KYM1	578	805			
753573	KYSE-140	KYSE140_OESOPHAGUS	KYSE140	386	KYSE140	580	161			
907317	KYSE-150	KYSE150_OESOPHAGUS	KYSE150	387	KYSE150	581	820			
907318	KYSE-180	KYSE180_OESOPHAGUS	KYSE180	388	KYSE180	582	174			
753574	KYSE-410	KYSE410_OESOPHAGUS	KYSE410	390	KYSE410	585	303			
907320	KYSE-450	KYSE450_OESOPHAGUS	KYSE450	391	KYSE450	586	493			
907321	KYSE-510	KYSE510_OESOPHAGUS	KYSE510	392	KYSE510	587	807			
753575	KYSE-520	KYSE520_OESOPHAGUS	KYSE520	393	KYSE520	588	506			
753576	KYSE-70	KYSE70_OESOPHAGUS	KYSE70	394	KYSE70	589	436			
924239	L-363	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
907322	L-428	L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
907783	LAMA-84	N/A	LAMA84	160	LAMA84	595	192			
1298223	LC-1-sq	LC1SQSF_LUNG	N/A	N/A	N/A	N/A				
753586	LCLC-103H	LCLC103H_LUNG	LCLC103H	294	LCLC103H	599	105			
946361	LCLC-97TM1	N/A	LCLC97TM1	295	LCLC97TM1	600	304			
687787	LK-2	N/A	LK2	296	LK2	602	470			
1240168	LN-18	LN18_CENTRAL_NERVOUS_SYSTEM	LN18	98	LN18	604	222			
1240169	LN-229	LN229_CENTRAL_NERVOUS_SYSTEM	LN229	99	LN229	606	223			
907788	LNCaP-Clone-FGC	N/A	LNCAPCLONEFGC	500	LNCAPCLONEFGC	618	471			
1298226	LOU-NH91	LOUNH91_LUNG	LOUNH91	297	LOUNH91	621	280			
907790	LoVo	N/A	LOVO	199	LOVO	622	416			
905974	LOXIMVI	LOXIMVI_SKIN	LOXIMVI	533	LOXIMVI	623	407	507		
907791	LP-1	LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
917486	LS-1034	N/A	LS1034	200	LS1034	626	472			
907792	LS-123	LS123_LARGE_INTESTINE	LS123	201	LS123	627	391			
998189	LS-180	N/A	LS180	202	LS180	630	175			
907794	LS-411N	LS411N_LARGE_INTESTINE	LS411N	203	LS411N	631	77			
907795	LS-513	LS513_LARGE_INTESTINE	LS513	204	LS513	632	78			
907796	LU-99A	LU99_LUNG	LU99	298	LU99	634	55			
753592	LXF-289	N/A	LXF289	300	LXF289	636	437			
949094	M059J	M059J_CENTRAL_NERVOUS_SYSTEM	N/A	N/A	N/A	N/A				
907799	MC116	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
905946	MCF7	MCF7_BREAST	MCF7	64	MCF7	646	136			
925338	MDA-MB-157	MDAMB157_BREAST	MDAMB157	65	MDAMB157	648	792			
908120	MDA-MB-175-VII	MDAMB175VII_BREAST	MDAMB175VII	66	MDAMB175VII	649				Experiment identifier not available in v20.meta.per_experiment.txt for this cell line
905960	MDA-MB-231	N/A	MDAMB231	67	MDAMB231	650	343			
908121	MDA-MB-361	N/A	MDAMB361	68	MDAMB361	651	809			
924240	MDA-MB-415	MDAMB415_BREAST	MDAMB415	69	MDAMB415	652	875			
1240172	MDA-MB-436	MDAMB436_BREAST	N/A	N/A	N/A	N/A				
908122	MDA-MB-453	MDAMB453_BREAST	MDAMB453	70	MDAMB453	657	861			
908123	MDA-MB-468	MDAMB468_BREAST	MDAMB468	71	MDAMB468	658	568			
1240173	MDST8	N/A	MDST8	205	MDST8	661	418			
908126	MEG-01	MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
908124	MEL-HO	MELHO_SKIN	MELHO	536	MELHO	666	176			
908125	MEL-JUSO	N/A	MELJUSO	537	MELJUSO	667	345			
908127	MES-SA	MESSA_SOFT_TISSUE	MESSA	563	MESSA	668	591			
908128	Mewo	MEWO_SKIN	MEWO	538	MEWO	669	655			
908129	MFE-280	MFE280_ENDOMETRIUM	N/A	N/A	N/A	N/A				
908130	MFE-296	MFE296_ENDOMETRIUM	MFE296	143	MFE296	671	810			
1240174	MFE-319	MFE319_ENDOMETRIUM	MFE319	144	MFE319	672	607			
908131	MG-63	MG63_BONE	MG63	30	MG63	673	752			
908134	MHH-ES-1	MHHES1_BONE	MHHES1	31	MHHES1	677	177			
908135	MHH-NB-11	N/A	MHHNB11	6	MHHNB11	678	67			
724870	MIA-PaCa-2	MIAPACA2_PANCREAS	MIAPACA2	466	MIAPACA2	679	656			
908138	MKN1	N/A	MKN1	587	MKN1	682	3			
925340	MKN45	MKN45_STOMACH	MKN45	588	MKN45	683	106			
924250	MKN7	MKN7_STOMACH	MKN7	589	MKN7	684	473			
1240178	ML-1	N/A	ML1	607	ML1	686	242			
908144	MOG-G-CCM	MOGGCCM_CENTRAL_NERVOUS_SYSTEM	N/A	N/A	N/A	N/A				
1330950	MOLP-8	MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLP8	161	MOLP8	696	608			
908147	MOLT-16	MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	N/A	N/A	N/A	N/A				
908150	MPP-89	MPP89_PLEURA	MPP89	493	MPP89	705	672			
908152	MSTO-211H	MSTO211H_PLEURA	MSTO211H	494	MSTO211H	706	292			
949179	NB1	N/A	NB1	7	NB1	720	346			
687995	NCI-H1048	NCIH1048_LUNG	N/A	N/A	N/A	N/A				
687997	NCI-H1092	NCIH1092_LUNG	N/A	N/A	N/A	N/A				
908467	NCI-H1155	NCIH1155_LUNG	NCIH1155	302	NCIH1155	155388	56			
724831	NCI-H1299	NCIH1299_LUNG	NCIH1299	304	NCIH1299	155395	89	195		
1330964	NCI-H1341	NCIH1341_LUNG	NCIH1341	306	NCIH1341	155400	704			
724866	NCI-H1355	NCIH1355_LUNG	NCIH1355	307	NCIH1355	155401	306			
684681	NCI-H1395	N/A	NCIH1395	309	NCIH1395	127978	771			
1298347	NCI-H1435	N/A	NCIH1435	310	NCIH1435	155407	438			
753600	NCI-H1563	NCIH1563_LUNG	NCIH1563	311	NCIH1563	155421	793			
1298348	NCI-H1568	NCIH1568_LUNG	NCIH1568	312	NCIH1568	155422	705			
908472	NCI-H1573	NCIH1573_LUNG	NCIH1573	313	NCIH1573	155424	307			
908471	NCI-H1581	NCIH1581_LUNG	NCIH1581	314	NCIH1581	155425	57			
687798	NCI-H1623	N/A	NCIH1623	315	NCIH1623	155431	508			
687799	NCI-H1648	NCIH1648_LUNG	N/A	N/A	N/A	N/A				
687800	NCI-H1650	NCIH1650_LUNG	NCIH1650	316	NCIH1650	155434	266			
910900	NCI-H1651	NCIH1651_LUNG	NCIH1651	317	NCIH1651	155435	844			
908473	NCI-H1666	NCIH1666_LUNG	NCIH1666	318	NCIH1666	127983	308			
687802	NCI-H1693	NCIH1693_LUNG	NCIH1693	319	NCIH1693	155439	673			
688006	NCI-H1694	NCIH1694_LUNG	N/A	N/A	N/A	N/A				
908474	NCI-H1703	NCIH1703_LUNG	NCIH1703	320	NCIH1703	155441	706			
722058	NCI-H1734	N/A	NCIH1734	321	NCIH1734	155445	224			
908475	NCI-H1755	N/A	NCIH1755	322	NCIH1755	127984	408			
1298350	NCI-H1781	N/A	NCIH1781	323	NCIH1781	155448				Experiment identifier not available in v20.meta.per_experiment.txt for this cell line
724868	NCI-H1792	NCIH1792_LUNG	NCIH1792	324	NCIH1792	155450	348			
908463	NCI-H1793	NCIH1793_LUNG	NCIH1793	325	NCIH1793	155451	857			
687807	NCI-H1838	N/A	NCIH1838	326	NCIH1838	155455	200			
1240183	NCI-H1869	NCIH1869_LUNG	NCIH1869	327	NCIH1869	155456	487	535		
1240184	NCI-H1915	NCIH1915_LUNG	NCIH1915	328	NCIH1915	155463	716			
1240185	NCI-H1944	NCIH1944_LUNG	NCIH1944	329	NCIH1944	155467	717			
1240186	NCI-H196	N/A	NCIH196	330	NCIH196	155294	201			
924244	NCI-H1975	NCIH1975_LUNG	NCIH1975	331	NCIH1975	127985				Experiment identifier not available in v20.meta.per_experiment.txt for this cell line
724873	NCI-H2009	NCIH2009_LUNG	NCIH2009	332	NCIH2009	155476	46			
1240187	NCI-H2023	NCIH2023_LUNG	NCIH2023	333	NCIH2023	155477	439			
688011	NCI-H2029	N/A	NCIH2029	334	NCIH2029	155479	475			
722045	NCI-H2030	NCIH2030_LUNG	NCIH2030	335	NCIH2030	155480	193			
688058	NCI-H2052	NCIH2052_PLEURA	NCIH2052	495	NCIH2052	155481	337			
687812	NCI-H2085	NCIH2085_LUNG	NCIH2085	337	NCIH2085	155488	338			
724834	NCI-H2087	NCIH2087_LUNG	NCIH2087	338	NCIH2087	127988	309			
