Line	COSMIC_ID	Site	Histology
OCUM-1	1298358	stomach	carcinoma
BCPAP	924104	thyroid	carcinoma
SCC90	1299052	upper_aerodigestive_tract	carcinoma
NCI-H226	905941	lung	carcinoma
KM12	905989	large_intestine	carcinoma
KYSE-180	907318	oesophagus	carcinoma
COLO-800	906813	skin	malignant_melanoma
ABC-1	906791	lung	carcinoma
NK-92MI	1330981	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
PANC-10-05	925348	pancreas	carcinoma
SW837	909755	large_intestine	carcinoma
SU-DHL-5	1331036	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
CP50-MEL-B	753545	skin	malignant_melanoma
SW1463	909748	large_intestine	carcinoma
SN12C	905979	kidney	carcinoma
NCI-H526	688025	lung	carcinoma
MCF7	905946	breast	carcinoma
Malme-3M	905953	skin	malignant_melanoma
NCI-H661	687829	lung	carcinoma
NCI-H510A	753605	lung	carcinoma
A375	906793	skin	malignant_melanoma
LU-134-A	753588	lung	carcinoma
CHSA0108	1290768	bone	chondrosarcoma
NCC021	1509074	kidney	carcinoma
HL-60	905938	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
L-1236	1330935	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H2066	1330973	lung	carcinoma
HT	907063	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SNU-182	1240216	liver	carcinoma
D-336MG	946369	central_nervous_system	glioma
HCC1599	749713	breast	carcinoma
H2373	1290809	pleura	mesothelioma
NCI-H660	1330975	prostate	carcinoma
GRANTA-519	1303897	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HOP-62	905972	lung	carcinoma
NCI-H1838	687807	lung	carcinoma
H2595	1240132	pleura	mesothelioma
DG-75	906838	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H1563	753600	lung	carcinoma
DND-41	1297446	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
STS-0421	1299061	soft_tissue	NS
KMRC-20	1298169	kidney	carcinoma
NCI-H1666	908473	lung	carcinoma
LXF-289	753592	lung	carcinoma
RCC-MF	1524419	kidney	carcinoma
UMC-11	909779	lung	carcinoid-endocrine_tumour
OVCA433	1480367	ovary	carcinoma
MDST8	1240173	large_intestine	carcinoma
EMC-BAC-1	1503369	lung	carcinoma
CCK-81	1240123	large_intestine	carcinoma
5637	687452	urinary_tract	carcinoma
IST-SL2	753565	lung	carcinoma
PE/CA-PJ15	1240207	upper_aerodigestive_tract	carcinoma
MC-IXC	908118	autonomic_ganglia	neuroblastoma
BICR78	1240122	upper_aerodigestive_tract	carcinoma
DOK	910936	upper_aerodigestive_tract	other
ROS-50	1331025	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
ECC10	906848	stomach	carcinoma
HT-144	907067	skin	malignant_melanoma
COR-L279	910937	lung	carcinoma
NCI-H2087	724834	lung	carcinoma
KP-1N	1298216	pancreas	carcinoma
CAL-27	910916	upper_aerodigestive_tract	carcinoma
NB5	949176	autonomic_ganglia	neuroblastoma
LU-99A	907796	lung	carcinoma
HuO9	907072	bone	osteosarcoma
NCI-H1341	1330964	lung	carcinoma
OSC-19	1298362	upper_aerodigestive_tract	carcinoma
HuP-T4	907286	pancreas	carcinoma
REH	909696	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
IMR-5	907170	autonomic_ganglia	neuroblastoma
CP66-MEL	753546	skin	malignant_melanoma
KG-1	907278	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
U251	905983	central_nervous_system	glioma
NCI-H1793	908463	lung	carcinoma
U-2-OS	909776	bone	osteosarcoma
TT	930299	thyroid	carcinoma
YH-13	909905	central_nervous_system	glioma
OVCAR-8	905991	ovary	carcinoma
SF126	909712	central_nervous_system	glioma
NCI-H2196	908481	lung	carcinoma
COR-L321	1322213	NS	NS
NCI-H1573	908472	lung	carcinoma
HCC202	1290906	breast	carcinoma
Hs633T	1240149	soft_tissue	fibrosarcoma
NCI-H2110	1298351	lung	carcinoma
EMC-BAC-2	1503370	lung	carcinoma
BC-3	910918	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
WIL2-NS	1331049	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
ES1	949158	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
HCT-15	905937	large_intestine	carcinoma
OUMS-23	1298363	large_intestine	carcinoma
PA-1	909255	ovary	germ_cell_tumour
OCI-AML2	910947	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
OV-7	1480360	ovary	carcinoma
A4-Fuk	910934	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KYSE-30	1298221	oesophagus	carcinoma
KMH-2	1298167	thyroid	carcinoma
SCH	909711	stomach	other
JAR	907175	placenta	choriocarcinoma
PCI-15A	1240204	upper_aerodigestive_tract	carcinoma
NCI-H1963	688010	lung	carcinoma
NCI-H1693	687802	lung	carcinoma
NCI-H2171	688015	lung	carcinoma
EW-22	949167	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
SK-OV-3	905959	ovary	carcinoma
LIM1215	2162949	large_intestine	carcinoma
CHSA8926	1303912	bone	chondrosarcoma
DMS-79	753551	lung	carcinoma
SK-CO-1	909718	large_intestine	carcinoma
BICR31	1290725	upper_aerodigestive_tract	carcinoma
ATN-1	910687	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SK-UT-1	909732	soft_tissue	leiomyosarcoma
GAMG	906868	central_nervous_system	glioma
NCI-SNU-5	908445	stomach	carcinoma
TE-15	753614	oesophagus	carcinoma
SNU-175	1659928	large_intestine	carcinoma
A427	910851	lung	carcinoma
BT-20	906801	breast	carcinoma
NCI-H1703	908474	lung	carcinoma
HCC2218	749716	breast	carcinoma
C-33-A	687505	cervix	carcinoma
H9	907043	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SUP-M2	1331040	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HCC-33	1303901	lung	carcinoma
NCI-H1155	908467	lung	carcinoma
NCI-H1435	1298347	lung	carcinoma
EW-11	684062	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
U031	905981	kidney	carcinoma
RPMI-6666	909701	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
OVK-18	1480371	ovary	carcinoma
C-4-I	687506	cervix	carcinoma
H2804	1240136	pleura	mesothelioma
NCI-H2135	1298352	lung	carcinoma
NCI-H1648	687799	lung	carcinoma
SK-MES-1	909728	lung	carcinoma
PCI-30	1298529	upper_aerodigestive_tract	carcinoma
SU-DHL-8	1331038	NS	NS
MMAC-SF	925339	skin	malignant_melanoma
Daoy	906833	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma
H3255	1247873	lung	carcinoma
VMRC-LCD	713869	lung	carcinoma
RCC-FG2	1524414	kidney	carcinoma
RPMI-2650	909700	upper_aerodigestive_tract	carcinoma
KYSE-50	1298222	oesophagus	carcinoma
JHH-1	1298151	liver	carcinoma
HAL-01	949153	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H2085	687812	lung	carcinoma
BONNA-12	906695	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
Mo-T	908149	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H1755	908475	lung	carcinoma
T47D	905945	breast	carcinoma
NCI-N87	908461	stomach	carcinoma
BT-474	946359	breast	carcinoma
SISO	1240212	cervix	carcinoma
EGI-1	906853	biliary_tract	carcinoma
HLE	907057	liver	carcinoma
SK-PN-DW	909731	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
RPMI-8226	905964	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SIMA	753620	autonomic_ganglia	neuroblastoma
LU-65	724863	lung	carcinoma
HuP-T3	907285	pancreas	carcinoma
NCI-H929	724825	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
TE-12	946356	oesophagus	carcinoma
NCI-H1770	687804	lung	carcinoma
DEL	906836	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-SNU-1	908444	stomach	carcinoma
CAL-85-1	910852	breast	carcinoma
huH-1	1298146	liver	carcinoma
NCI-H1651	910900	lung	carcinoma
RMG-I	909699	ovary	carcinoma
SJSA-1	909717	bone	other
SBC-3	753610	lung	carcinoma
SKN	1240215	soft_tissue	leiomyosarcoma
SK-MM-2	753612	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
COR-L311	687980	lung	carcinoma
HA7-RCC	753558	kidney	carcinoma
GEO	2164691	large_intestine	carcinoma
MDA-MB-415	924240	breast	carcinoma
EW-18	949164	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
CAL-39	924107	vulva	carcinoma
A673	684052	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
MEL-HO	908124	skin	malignant_melanoma
VMRC-RCZ	909781	kidney	carcinoma
K2	1298160	skin	malignant_melanoma
DOV13	1479987	ovary	carcinoma
THP-1	909771	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
BB49-HNC	753532	upper_aerodigestive_tract	carcinoma
KMRC-1	1298168	kidney	carcinoma
769-P	910922	kidney	carcinoma
CL-40	1240124	large_intestine	carcinoma
MG-63	908131	bone	osteosarcoma
MHH-NB-11	908135	autonomic_ganglia	neuroblastoma
Caov-3	906825	ovary	carcinoma
EW-12	949162	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
IM-9	753563	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
Caov-4	949090	ovary	carcinoma
SK-MEL-28	905954	skin	malignant_melanoma
SF539	905984	central_nervous_system	glioma
PA-TU-8902	1298526	pancreas	carcinoma
TE-5	735784	oesophagus	carcinoma
COLO-678	910689	large_intestine	carcinoma
SNU-407	1660034	large_intestine	carcinoma
DJM-1	906841	skin	adnexal_tumour
COR-L32	1322212	lung	carcinoma
NCI-H1869	1240183	lung	carcinoma
KMS-12-BM	907281	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
BICR10	1290724	upper_aerodigestive_tract	carcinoma
P32-ISH	1330987	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
D-392MG	946370	central_nervous_system	glioma
Detroit562	906837	upper_aerodigestive_tract	carcinoma
NCI-H460	905943	lung	carcinoma
COLO-205	905961	large_intestine	carcinoma
JVM-2	907269	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MKN45	925340	stomach	carcinoma
MONO-MAC-6	908148	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
JHH-2	1240157	liver	carcinoma
RH-41	1240210	soft_tissue	rhabdomyosarcoma
NCI-H358	908465	lung	carcinoma
OVKATE	1240199	ovary	carcinoma
H2803	1240135	pleura	mesothelioma
CHP-134	910941	autonomic_ganglia	neuroblastoma
NCI-H1734	722058	lung	carcinoma
NCI-H1623	687798	lung	carcinoma
SF268	905986	central_nervous_system	glioma
IM-95	1240155	stomach	carcinoma
COLO-668	910692	lung	carcinoma
T-24	724812	urinary_tract	carcinoma
SK-N-FI	688087	autonomic_ganglia	neuroblastoma
MCC26	1298234	skin	carcinoma
SCC-3	910930	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KGN	924186	ovary	sex_cord-stromal_tumour
EM-2	906855	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
Becker	906746	central_nervous_system	glioma
NCI-H2452	908462	pleura	mesothelioma
KOPN-8	1330933	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
OVTOKO	1298365	ovary	carcinoma
SUP-B8	910209	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
CPC-N	753547	lung	carcinoma
SNU-C1	910905	large_intestine	carcinoma
CAL-78	1290765	bone	chondrosarcoma
SNU-387	909736	liver	carcinoma
U-CH2	1503373	bone	chordoma
NCI-H187	688007	lung	carcinoma
NCI-H2029	688011	lung	carcinoma
KARPAS-422	907274	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H1688	1298349	lung	carcinoma
PA-TU-8988T	1240201	pancreas	carcinoma
G-292_Clone_A141B1	1290807	bone	osteosarcoma
TT2609-C02	1240223	thyroid	carcinoma
G-401	907299	soft_tissue	rhabdoid_tumour
RL95-2	930082	endometrium	carcinoma
NCI-H446	688023	lung	carcinoma
EoL-1-cell	906856	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
UACC-62	905976	skin	malignant_melanoma
G-MEL	1240130	skin	malignant_melanoma
CADO-ES1	753539	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
HT-1080	907064	soft_tissue	fibrosarcoma
LOUCY	907789	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MY-M12	1330960	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
ALL-PO	910944	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
WM278	1240226	skin	malignant_melanoma
SK-MEL-31	909727	skin	malignant_melanoma
CS1	1290795	bone	other
KNS-81-FD	924188	central_nervous_system	glioma
JHU-022	1240162	upper_aerodigestive_tract	carcinoma
NEC8	910942	testis	germ_cell_tumour
KU-19-19	907312	urinary_tract	carcinoma
GA-10	1303896	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
YT	946358	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
H-EMC-SS	907290	bone	chondrosarcoma
SK-MEL-1	909723	skin	malignant_melanoma
EW-16	949165	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
EB-3	906847	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H647	1240191	lung	carcinoma
CCF-STTG1	906823	central_nervous_system	glioma
MDA-MB-361	908121	breast	carcinoma
SW403	910908	large_intestine	carcinoma
Farage	1297449	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KARPAS-231	1327774	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
Daudi	906831	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
Saos-2	909707	bone	osteosarcoma
A3-KAW	910935	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
FLO-1	1503361	oesophagus	carcinoma
HT-29	905939	large_intestine	carcinoma
NB17	949175	autonomic_ganglia	neuroblastoma
NCI-H810	925341	lung	carcinoma
MZ7-mel	753596	skin	malignant_melanoma
Ca-Ski	906824	cervix	carcinoma
HCC1954	749709	breast	carcinoma
NCI-H1355	724866	lung	carcinoma
HMV-II	907058	skin	malignant_melanoma
HT-1197	907065	urinary_tract	carcinoma
AMO-1	1295741	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
BFTC-909	910698	kidney	carcinoma
KYSE-510	907321	oesophagus	carcinoma
8-MG-BA	687562	central_nervous_system	glioma
GI-1	906871	central_nervous_system	glioma
CAKI-1	905963	kidney	carcinoma
TE-6	946355	oesophagus	carcinoma
L-540	907323	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H748	909194	lung	carcinoma
ETK-1	906861	biliary_tract	carcinoma
EB2	906846	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H2023	1240187	lung	carcinoma
KON	1298215	upper_aerodigestive_tract	carcinoma
SAT	1299050	upper_aerodigestive_tract	carcinoma
AsPC-1	910702	pancreas	carcinoma
NCCIT	908441	testis	germ_cell_tumour
RPMI-8402	909702	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MIA-PaCa-2	724870	pancreas	carcinoma
CAL-51	910927	breast	carcinoma
JHH-4	1240158	liver	carcinoma
OSC-20	1240196	upper_aerodigestive_tract	carcinoma
PC-3_[JPC-3]	1240202	lung	carcinoma
SW156	1240220	kidney	carcinoma
NCI-H1568	1298348	lung	carcinoma
C3A	910850	liver	carcinoma
DSH1	753552	urinary_tract	carcinoma
NKM-1	908448	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
Jurkat	998184	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
ES6	949157	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
MKN7	924250	stomach	carcinoma
SNU-423	909737	liver	carcinoma
COR-L23	687780	lung	carcinoma
KARPAS-1106P	1327773	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
TE-11	946354	oesophagus	carcinoma
KARPAS-620	1327775	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
OVCAR-5	905969	ovary	carcinoma
22RV1	924100	prostate	carcinoma
LS-180	998189	large_intestine	carcinoma
SW1088	909745	central_nervous_system	glioma
OV-56	1480362	ovary	carcinoma
DMS-114	687983	lung	carcinoma
RS4-11	909703	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
SH-4	909713	skin	malignant_melanoma
SNU-1040	1659823	large_intestine	carcinoma
NCI-H2126	687814	lung	carcinoma
RERF-LC-MS	910931	lung	carcinoma
no-11	908450	central_nervous_system	glioma
NAMALWA	908159	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
451Lu	1287706	skin	malignant_melanoma
OMC-1	949154	cervix	carcinoma
TUR	909773	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
Calu-6	724859	lung	carcinoma
JHH-6	1240159	liver	carcinoma
CAL-29	1290730	urinary_tract	carcinoma
MV-4-11	908156	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
NCI-H1792	724868	lung	carcinoma
NY	910849	bone	osteosarcoma
RXF393	905978	kidney	carcinoma
ZR-75-30	909907	breast	carcinoma
PCI-6A	1240206	upper_aerodigestive_tract	carcinoma
RKN	1298539	ovary	other
EW-7	949160	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
MOG-G-CCM	908144	central_nervous_system	glioma
CA46	910703	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SK-MEL-30	909726	skin	malignant_melanoma
QGP-1	1298534	pancreas	carcinoma
LC-2-ad	907786	lung	carcinoma
NCI-SNU-16	908446	stomach	carcinoma
SIG-M5	909715	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
CL-34	1290771	large_intestine	carcinoma
MOLP-8	1330950	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SW900	724879	lung	carcinoma
LAN-6	949170	autonomic_ganglia	neuroblastoma
NCI-H2172	1298353	lung	carcinoma
OCI-LY7	1659819	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
GT3TKB	907041	stomach	carcinoma
BT-483	949093	breast	carcinoma
CHP-126	910567	autonomic_ganglia	neuroblastoma
MC-1010	907798	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
SU8686	1240218	pancreas	carcinoma
UACC-257	905977	skin	malignant_melanoma
NCI-H1650	687800	lung	carcinoma
SNU-449	909738	liver	carcinoma
NUGC-3	908455	stomach	carcinoma
Hs940-T	1298145	skin	malignant_melanoma
G-361	906865	skin	malignant_melanoma
HeLa	1298134	cervix	carcinoma
NCI-H23	905942	lung	carcinoma
IGROV-1	905968	ovary	carcinoma
NU-DUL-1	1330982	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
K5	924238	thyroid	carcinoma
DBTRG-05MG	906835	central_nervous_system	glioma
CMK	910566	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
GDM-1	906870	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
H2722	1290812	pleura	mesothelioma
HCC2998	905971	large_intestine	carcinoma
VA-ES-BJ	688121	bone	sarcoma
MDA-MB-453	908122	breast	carcinoma
TMK-1	1299069	stomach	carcinoma
VM-CUB-1	909780	urinary_tract	carcinoma
Hs-578-T	905957	breast	carcinoma
NCI-H508	908442	large_intestine	carcinoma
SAS	909708	upper_aerodigestive_tract	carcinoma
RH-18	971774	soft_tissue	rhabdomyosarcoma
A172	687563	central_nervous_system	glioma
KU812	907311	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
SW756	724839	cervix	carcinoma
KOSC-2	753570	upper_aerodigestive_tract	carcinoma
DK-MG	906839	central_nervous_system	glioma
A388	910697	skin	carcinoma
COR-L88	906808	lung	carcinoma
BHT-101	906696	thyroid	carcinoma
CRO-AP3	1297440	NS	NS
DB	906832	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H1105	908468	lung	carcinoma
COLO-741	906815	large_intestine	carcinoma
HCT-116	905936	large_intestine	carcinoma
OVCAR-4	905990	ovary	carcinoma
JHU-029	1298156	upper_aerodigestive_tract	carcinoma
OV-90	1240197	ovary	carcinoma
MCC13	1333003	skin	carcinoma
HPAC	1298136	pancreas	carcinoma
ST486	910906	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
PL-21	1330991	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
A704	910920	kidney	carcinoma
EFM-192A	1290798	breast	carcinoma
NUGC-4	1298357	stomach	carcinoma
CAL-12T	753540	lung	carcinoma
H290	1240139	pleura	mesothelioma
NCI-H250	924241	lung	carcinoma
ARH-77	906765	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
PSN1	910546	pancreas	carcinoma
MKN28	908139	stomach	carcinoma
Sarc9371	1303910	bone	sarcoma
MLMA	908142	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SW1783	909750	central_nervous_system	glioma
KATOIII	907276	stomach	carcinoma
KMS-11	1659817	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SKN-3	1299059	upper_aerodigestive_tract	carcinoma
MDA-MB-175-VII	908120	breast	carcinoma
NCI-H378	688022	lung	carcinoma
BFTC-905	910926	urinary_tract	carcinoma
UDSCC2	1299073	upper_aerodigestive_tract	carcinoma
TCCSUP	687459	urinary_tract	carcinoma
201T	1287381	lung	carcinoma
GP5d	907291	large_intestine	carcinoma
CAL-148	924106	breast	carcinoma
H2869	1240138	pleura	mesothelioma
COLO-829	687448	skin	malignant_melanoma
MM1S	1659818	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
OV-17R	1480361	ovary	carcinoma
NCI-H1299	724831	lung	carcinoma
SK-N-DZ	688086	autonomic_ganglia	neuroblastoma
S-117	910946	soft_tissue	sarcoma
KS-1	907313	central_nervous_system	glioma
GAK	910932	skin	malignant_melanoma
NCI-H2052	688058	pleura	mesothelioma
KE-37	907277	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
Hep_3B2_1-7	1240147	NS	NS
KARPAS-45	907272	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
TE-10	753622	oesophagus	carcinoma
NCI-H1876	1330972	lung	carcinoma
U-266	753615	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
EFO-27	906852	ovary	carcinoma
NCI-H1048	687995	lung	carcinoma
DMS-53	907295	lung	carcinoma
